OBJECTID,COUNTY,CITY,Shape__Area,Shape__Length,GlobalID
403,Sonoma,Sebastopol,7963427.453125,24751.2424303691,c1020509-ed2b-46dc-8a3e-8ef0d2e72056
404,Fresno,Selma,23569157.0742188,41678.1152430873,2cd7ed4b-fa77-447d-89a7-c529deb463de
405,Kern,Shafter,151805676.316406,95747.5985247595,66ac58b8-65f3-4179-b88e-c2fb1c2accd1
406,Shasta,Shasta Lake,48898968.2539063,36093.5685176922,e74d6b10-65c4-40e1-8c51-d64f04ed35c9
407,Los Angeles,Sierra Madre,11224441.3242188,14811.9517334063,8502ba25-c9f9-471a-91e0-7539f73abd82
408,Los Angeles,Signal Hill,8263922.94921875,20718.6965209278,ceee12fd-8ecd-4671-a407-3d7075755fdf
409,Ventura,Simi Valley,160889382.574219,105750.850492169,d0cb7066-10cd-4484-b4c1-92752fc7f8ce
410,San Diego,Solana Beach,12566902.2070313,17561.8286791104,7ec9f195-fdd1-4cc3-b51f-189c2c4da889
411,Monterey,Soledad,18966855.5507813,40888.1283434078,0d5d645b-960f-4f31-b362-80863713e1ea
412,Santa Barbara,Solvang,9355712.98828125,24088.2429126894,6830c821-869d-497a-ae44-c1f8f2988830
413,Sonoma,Sonoma,11071137.5039063,23871.5576517794,50c6627f-60bf-4659-b731-5023d7b95e59
414,Tuolumne,Sonora,12993923.5703125,21841.3039390573,3c38c8f0-24c3-418b-b84e-2792027ba80c
415,Los Angeles,South El Monte,10779077.0390625,22809.6687687195,bfd367c5-2818-4fa7-93cf-6e057ccca3c2
416,Los Angeles,South Gate,27722325.125,37662.4477779243,71ca371c-d27e-4817-ac81-dbda70c498eb
417,El Dorado,South Lake Tahoe,74955719.4257813,55721.7024777344,8cdca7b8-e476-44ee-853a-cfdd655af6f0
418,Los Angeles,South Pasadena,12938297.34375,15983.9196173555,7a8f02dd-023c-4d48-ba3e-77fc13a3d72d
419,San Mateo,South San Francisco,37827918.4296875,63507.5265110519,100e95cc-ebf3-416e-8e20-fcbff3163802
420,Napa,St. Helena,21581247.203125,31664.0712425904,8867b333-8e8e-4cdc-b41d-ef66a9699dde
421,Orange,Stanton,11686823.3164063,33483.405482768,3e342915-b86a-4806-b2e1-ad40237cd5c6
422,San Joaquin,Stockton,276758684.480469,281373.058269844,34204680-532d-43ca-9f1b-f241dde7d3ce
423,Solano,Suisun City,17185155.8945313,34090.9592344595,6aacc2ae-5b60-44da-b446-382981acf4e0
424,Santa Clara,Sunnyvale,91366252.7578125,65588.7543784695,f0bae7c6-f6fe-4d03-8dd1-579081194cb6
425,Lassen,Susanville,35316411.9453125,66105.7518881547,37718f8e-1c51-4f93-b8eb-2f7a1121444c
426,Amador,Sutter Creek,11304102.8476563,32096.7323373362,64677ecc-2a27-42f8-82d7-b6bcc244b559
427,Kern,Taft,58700865.6914063,53480.1798617673,9e636ec4-84ee-4d31-b881-de631c110d63
428,Kern,Tehachapi,39970878.796875,65979.8003127906,aa95dac9-f8b1-47f0-bfcd-e15ec2e76d14
429,Tehama,Tehama,3456749.7421875,8621.66392371782,bf56407a-8502-44c4-907f-2d448fd5e21e
430,Riverside,Temecula,138825973.71875,86826.8834935536,1bed47a6-0602-4d9e-ad08-fec50de263f5
431,Los Angeles,Temple City,15259500.0820313,22322.0282256972,23a31143-9ece-4bf4-9e06-a9787fd127fe
432,Ventura,Thousand Oaks,210489429.59375,123574.67923006,29e25c0d-d6e7-4d56-b082-2b09d59660e7
433,Marin,Tiburon,18854218.5,51608.8531781674,ac336a93-9d60-4bd0-9d22-556c7b446de1
434,Los Angeles,Torrance,77323534.96875,51431.0729386086,cee9d69e-414e-422a-b85f-829d261eccd8
