Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A17007B_001,SE_A17007B_002,SE_A17007B_003,SE_A17007B_004,SE_A17007B_005,SE_A17007B_006,SE_A17007B_007,SE_A17007B_008,SE_A17007B_009,SE_A17007B_010,SE_A17007B_011,SE_A17007B_012,SE_A17007B_013,SE_A17007B_014,SE_A14006_001,SE_A17007A_001,SE_A17007A_002,SE_A17007A_003,SE_A17007A_004,SE_A17007A_005,SE_A17007A_006,SE_A17007A_007,SE_A17007A_008,SE_A17007A_009,SE_A17007A_010,SE_A17007A_011,SE_A17007A_012,SE_A17007A_013,SE_A17007A_014,SE_A00002_001,SE_A00002_002,SE_A00002_003
"060710002033","15000US060710002033","Block Group 3, Census Tract 2.03, San Bernardino County, California","Block Group 3, Census Tract 2.03, San Bernardino County, California","ca","150","00","ACSSF","0025744",,,,,"06","071",,,,"000203","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,8,42,23,15,55,0,0,15,149,0,0,0,0,44375,340,14,0,0,27,40,30,0,33,0,0,30,85,81,1212,8466.364,0.143154717319154
"060710002051","15000US060710002051","Block Group 1, Census Tract 2.05, San Bernardino County, California","Block Group 1, Census Tract 2.05, San Bernardino County, California","ca","150","00","ACSSF","0025745",,,,,"06","071",,,,"000205","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,10,6,0,0,140,0,55,40,33,0,0,0,10,45448,373,23,6,0,0,67,23,0,55,39,0,52,69,39,1470,8022.662,0.183230964776671
"060710002052","15000US060710002052","Block Group 2, Census Tract 2.05, San Bernardino County, California","Block Group 2, Census Tract 2.05, San Bernardino County, California","ca","150","00","ACSSF","0025746",,,,,"06","071",,,,"000205","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,71,82,81,0,99,0,55,6,128,0,0,25,8,63125,443,13,91,3,9,5,0,0,94,46,0,51,59,72,2323,7314.634,0.317582552506035
"060710002053","15000US060710002053","Block Group 3, Census Tract 2.05, San Bernardino County, California","Block Group 3, Census Tract 2.05, San Bernardino County, California","ca","150","00","ACSSF","0025747",,,,,"06","071",,,,"000205","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,11,4,6,0,47,0,0,14,8,0,0,0,0,39761,297,0,40,0,0,18,0,13,123,2,0,2,83,16,1219,9724.262,0.125356565358604
"060710002071","15000US060710002071","Block Group 1, Census Tract 2.07, San Bernardino County, California","Block Group 1, Census Tract 2.07, San Bernardino County, California","ca","150","00","ACSSF","0025748",,,,,"06","071",,,,"000207","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,29,38,0,0,16,20,0,44,82,0,0,0,41,60273,396,35,23,0,0,11,0,8,73,24,0,38,77,107,1320,5717.479,0.230870953842257
"060710002072","15000US060710002072","Block Group 2, Census Tract 2.07, San Bernardino County, California","Block Group 2, Census Tract 2.07, San Bernardino County, California","ca","150","00","ACSSF","0025749",,,,,"06","071",,,,"000207","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,0,83,0,0,46,0,8,0,38,0,0,29,17,50313,339,68,1,39,0,0,17,0,2,16,48,31,103,14,1413,11219.8,0.12593803523414
"060710002073","15000US060710002073","Block Group 3, Census Tract 2.07, San Bernardino County, California","Block Group 3, Census Tract 2.07, San Bernardino County, California","ca","150","00","ACSSF","0025750",,,,,"06","071",,,,"000207","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,52,44,0,0,25,76,75,40,83,0,0,31,23,74850,628,55,0,0,25,42,60,92,6,0,0,186,74,88,2126,16508.36,0.128783222161647
"060710002081","15000US060710002081","Block Group 1, Census Tract 2.08, San Bernardino County, California","Block Group 1, Census Tract 2.08, San Bernardino County, California","ca","150","00","ACSSF","0025751",,,,,"06","071",,,,"000208","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,124,75,9,0,37,8,44,46,227,0,0,47,39,54583,732,46,43,0,8,27,65,7,60,70,0,200,91,115,3365,8932.998,0.376693251088422
"060710002082","15000US060710002082","Block Group 2, Census Tract 2.08, San Bernardino County, California","Block Group 2, Census Tract 2.08, San Bernardino County, California","ca","150","00","ACSSF","0025752",,,,,"06","071",,,,"000208","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,16,23,12,0,46,0,22,6,20,0,0,0,30,60872,402,39,25,0,18,29,15,0,41,33,0,146,34,22,1302,10384.39,0.125380503693453
"060710003011","15000US060710003011","Block Group 1, Census Tract 3.01, San Bernardino County, California","Block Group 1, Census Tract 3.01, San Bernardino County, California","ca","150","00","ACSSF","0025753",,,,,"06","071",,,,"000301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,14,43,0,0,6,0,52,54,46,0,0,56,0,71607,383,35,45,0,10,0,15,0,31,12,0,98,61,76,1758,2487.38,0.706767753364108
