,state code,county code,affgeoid,geoid,county,location,Total Population,Day Population,EJI Rank,Environmental Burden Rank,Ozone Rank,PM 2.5 Rank,Diesel Rank,Air Toxins Cancer Risk,Lack of Parks,Lack of Walkability,Railways,High Volume Roads,Airports,"Proximity to Roads, Rail, Airports",Social Vulnerability Sum,Social Vulnerability Rank,% High Blood Pressure,% Asthma,% Cancer,% Mental Health,% Diabetes,High Blood Pressure Rank,Asthma Rank,Cancer Rank,Diabetes Rank,Mental Health Rank,SHAPE__Length,SHAPE__Area,geometry,Minority Rank,Below 200% Poverty Rank,No HS Diploma Rank,Unemployed Rank,Renter Rank,Households Less than $75k Rank,Uninsured Rank,No Internet Rank,Over 65 Rank,Under 17 Rank,Disability Rank,Speak Limited English Rank,Mobile Home Rank,% Minority,% Below Poverty,% No High School Diploma,% Unemployed,% Renter,"% Households < $75,000",% Uninsured,% No Internet,% Age 65+,% Age 17 or Younger,% With Disability,% Limited English,% Mobile Home,% Group Quarters
10,06,071,1400000US06071001808,06071001808,San Bernardino,"Census Tract 18.08, San Bernardino County, Calif",4644,1621,0.4812,0.6796,0.9902,0.9942,0.8919,0.9238,0.5916,0.4273,0.0,0.7666,0.0,0.3209,0.296,5.562,22.7,9.0,4.1,12.8,9.3,0.069,0.2831,0.0688,0.319,0.362,4793.215364426964,1129590.549453695,"POLYGON ((-117.623377 34.030389, -117.624081 34.02992, -117.624054 34.026745, -117.623969 34.019501999999996, -117.619595 34.019563, -117.615272 34.019566999999995, -117.615336 34.026809, -117.610965 34.026844, -117.611001 34.030457999999996, -117.623377 34.030389))",0.8646,0.2987,0.5922,0.3157,0.4331,0.5739,0.4964,0.0265,0.1197,0.5316,0.1535,0.7729,0.0,82.2,20.207,12.0,3.5,10.2,28.5831,7.0,2.5,8.5,22.5,7.6,5.3,0.0,0.1
11,06,071,1400000US06071000304,06071000304,San Bernardino,"Census Tract 3.04, San Bernardino County, Califo",6223,4775,0.6777,0.7983,0.9886,0.982,0.7394,0.8035,0.3853,0.3384,0.7891,0.0,0.0,0.368,0.8971,9.5428,26.2,9.3,4.3,14.1,12.3,0.1804,0.3679,0.0881,0.6756,0.5153,7544.299388552532,3271729.56208879,"POLYGON ((-117.706969 34.059734999999996, -117.706834 34.0522, -117.706746 34.048584999999996, -117.70675800000001 34.047112999999996, -117.706907 34.046672, -117.703382 34.046965, -117.702635 34.047022, -117.698052 34.047257, -117.693784 34.047534, -117.69366600000001 34.047565, -117.692684 34.047644999999996, -117.69175899999999 34.047641, -117.689539 34.047751999999996, -117.68076500000001 34.048356, -117.68075 34.048395, -117.680784 34.053149, -117.68079900000001 34.05489, -117.680835 34.055966999999995, -117.680859 34.059861, -117.68193 34.05985, -117.68408099999999 34.05984, -117.689708 34.059809, -117.690641 34.059795, -117.706969 34.059734999999996))",0.8805,0.6535,0.949,0.7397,0.4138,0.8243,0.7435,0.5115,0.3278,0.5316,0.5578,0.9637,0.7889,85.0,38.2452,33.7,7.2,9.8,39.7915,11.8,16.8,12.8,22.5,13.2,21.7,10.0,0.8
12,06,071,1400000US06071001104,06071001104,San Bernardino,"Census Tract 11.04, San Bernardino County, Calif",6140,2932,0.6934,0.8179,0.993,0.9758,0.713,0.712,0.3853,0.2056,0.6634,0.6211,0.0,0.6165,0.7374,8.3278,29.0,9.5,6.2,13.7,12.8,0.3259,0.4269,0.3868,0.7203,0.4677,5883.984704799766,1792604.7059757,"POLYGON ((-117.670137 34.087379, -117.670118 34.081502, -117.670107 34.077861999999996, -117.670092 34.074238, -117.670062 34.068784, -117.660645 34.068808, -117.66068 34.074264, -117.660703 34.077906, -117.660712 34.081533, -117.660736 34.087434, -117.670137 34.087379))",0.834,0.5389,0.8152,0.3007,0.4874,0.6367,0.6636,0.6849,0.3509,0.6384,0.3372,0.8737,0.5509,76.2,31.9205,20.4,3.4,11.4,30.8438,9.9,22.3,13.2,24.0,10.2,10.1,1.2,0.6
13,06,071,1400000US06071001309,06071001309,San Bernardino,"Census Tract 13.09, San Bernardino County, Calif",4658,2374,0.74,0.8756,0.9946,0.9787,0.778,0.7653,0.3853,0.463,0.708,0.7666,0.9771,0.9872,0.6001,7.4423,25.6,9.9,4.0,15.6,11.8,0.1541,0.5445,0.0603,0.6264,0.6768,5754.274321056926,1309869.00697014,"POLYGON ((-117.630018 34.081604999999996, -117.632011 34.081617, -117.63199 34.077974, -117.631986 34.074343, -117.631964 34.070687, -117.629239 34.070704, -117.620761 34.070717, -117.613353 34.070693999999996, -117.61192199999999 34.069091, -117.611013 34.068816, -117.611176 34.07076, -117.611175 34.070910999999995, -117.617715 34.074518999999995, -117.623107 34.077647999999996, -117.628589 34.080805999999995, -117.630018 34.081604999999996))",0.9126,0.4329,0.9734,0.4307,0.5084,0.7213,0.8028,0.4441,0.3858,0.5761,0.3057,0.9485,0.0,90.4,26.671,40.2,4.3,11.9,34.3409,13.6,14.9,13.8,23.1,9.8,18.5,0.0,0.0
14,06,071,1400000US06071001501,06071001501,San Bernardino,"Census Tract 15.01, San Bernardino County, Calif",4218,2536,0.7595,0.972,0.9937,0.9804,0.7475,0.7467,0.3853,0.1756,0.7891,0.3308,0.9793,0.9548,0.8481,9.1304,23.5,9.4,3.4,15.4,10.9,0.0857,0.3966,0.0264,0.5229,0.6567,3699.495811013122,752238.535147235,"POLYGON ((-117.646098 34.070679, -117.64608799999999 34.068258, -117.646055 34.063376, -117.641333 34.063385, -117.637223 34.063397, -117.637248 34.067065, -117.634807 34.067074999999996, -117.63480799999999 34.070709, -117.641393 34.070699, -117.643766 34.070685, -117.646098 34.070679))",0.9209,0.7775,0.9624,0.725,0.6171,0.8256,0.9326,0.7047,0.0437,0.8958,0.24,0.9738,0.5113,91.7,46.6378,36.8,7.0,14.8,39.8674,20.5,23.0,5.8,29.6,8.9,24.4,0.8,0.0
15,06,071,1400000US06071001706,06071001706,San Bernardino,"Census Tract 17.06, San Bernardino County, Calif",6283,2430,0.7786,0.9194,0.9906,0.9837,0.7641,0.7646,0.3853,0.3544,0.7891,0.0,0.0,0.368,0.8496,9.1429,25.4,9.9,3.7,15.6,11.3,0.1459,0.5445,0.04,0.5716,0.6768,4785.13368733953,1112693.61198828,"POLYGON ((-117.669867 34.055994, -117.66979 34.049158, -117.663946 34.049534, -117.663293 34.049537, -117.660551 34.049712, -117.650773 34.050402999999996, -117.650807 34.054967999999995, -117.653532 34.05495, -117.658564 34.05499, -117.660583 34.055419, -117.66237 34.055909, -117.663281 34.056024, -117.669867 34.055994))",0.9028,0.6834,0.9128,0.5721,0.7163,0.898,0.7812,0.6379,0.1197,0.7621,0.2834,0.9391,0.5509,88.8,40.0926,28.1,5.4,18.0,45.2456,12.9,20.7,8.5,26.1,9.5,17.0,1.2,0.1
16,06,071,1400000US06071001903,06071001903,San Bernardino,"Census Tract 19.03, San Bernardino County, Calif",13753,10014,0.5223,0.7284,0.9865,0.9955,0.7307,0.831,0.5161,0.8592,0.0,0.2463,0.9645,0.58,0.5679,7.2427,18.8,10.0,3.4,13.9,7.2,0.0246,0.5713,0.0264,0.0952,0.4916,34629.80880868153,40659525.92125402,"POLYGON ((-117.662853 33.9975, -117.662965 33.993852, -117.658477 33.993832999999995, -117.658441 33.990259, -117.650662 33.990299, -117.650627 33.983058, -117.650532 33.968551999999995, -117.650504 33.9561, -117.65029799999999 33.953359, -117.650331 33.951336999999995, -117.651482 33.947235, -117.657332 33.932443, -117.659515 33.93069, -117.658314 33.929119, -117.65537499999999 33.924343, -117.655386 33.925114, -117.610947 33.925114, -117.610925 33.945999, -117.610913 33.960084, -117.610485 33.964413, -117.610386 33.971613999999995, -117.60687300000001 33.972778999999996, -117.600906 33.974843, -117.600066 33.975316, -117.59394 33.97727, -117.593232 33.977596, -117.55837700000001 33.98842, -117.558429 33.997112, -117.593175 33.997254999999996, -117.60570200000001 33.997458, -117.606756 33.997834, -117.628035 33.997692, -117.65068600000001 33.997583999999996, -117.658506 33.997532, -117.662853 33.9975))",0.8329,0.3043,0.6588,0.4444,0.4285,0.5366,0.751,0.1034,0.0565,0.7911,0.0143,0.83,0.5337,76.0,20.4921,13.9,4.4,10.1,27.3396,12.0,5.5,6.4,26.7,3.3,7.5,1.0,12.8
17,06,071,1400000US06071001905,06071001905,San Bernardino,"Census Tract 19.05, San Bernardino County, Calif",6981,4091,0.38,0.5527,0.9894,0.9953,0.8064,0.8851,0.5344,0.3394,0.0,0.2961,0.0,0.0997,0.3876,6.1502,21.8,8.7,4.1,12.1,8.8,0.0544,0.2054,0.0688,0.2542,0.2812,16900.62625199494,14636308.220338205,"POLYGON ((-117.658833 34.019287, -117.658745 34.011976, -117.658658 34.004766, -117.658506 33.997532, -117.65068600000001 33.997583999999996, -117.628035 33.997692, -117.606756 33.997834, -117.60570200000001 33.997458, -117.593175 33.997254999999996, -117.59315 34.011841, -117.593164 34.019145, -117.599948 34.019225, -117.604626 34.019296, -117.60666499999999 34.019511, -117.607634 34.019639, -117.610902 34.019603, -117.615272 34.019566999999995, -117.619595 34.019563, -117.623969 34.019501999999996, -117.628333 34.019484999999996, -117.63704899999999 34.019433, -117.650628 34.019331, -117.654483 34.019313, -117.658833 34.019287))",0.8493,0.2978,0.6495,0.5721,0.4426,0.5004,0.5416,0.3043,0.1481,0.5393,0.0523,0.8697,0.0,79.2,20.1552,13.6,5.4,10.4,26.232,7.7,11.1,9.2,22.6,5.4,9.8,0.0,0.1
18,06,071,1400000US06071001809,06071001809,San Bernardino,"Census Tract 18.09, San Bernardino County, Calif",4975,5234,0.6874,0.905,0.993,0.9947,0.8919,0.9207,0.3853,0.2478,0.2756,0.7666,0.0,0.503,0.7297,8.2731,25.2,9.4,4.2,13.8,10.6,0.1385,0.3966,0.0785,0.4854,0.4797,6544.791849055629,2353740.19118732,"POLYGON ((-117.611001 34.030457999999996, -117.610965 34.026844, -117.615336 34.026809, -117.615272 34.019566999999995, -117.610902 34.019603, -117.607634 34.019639, -117.60666499999999 34.019511, -117.604626 34.019296, -117.599948 34.019225, -117.593164 34.019145, -117.593201 34.030505999999995, -117.59932599999999 34.030476, -117.606595 34.030485999999996, -117.611001 34.030457999999996))",0.8748,0.689,0.8959,0.702,0.1294,0.4575,0.7273,0.6875,0.1088,0.8701,0.2547,0.8866,0.9895,84.0,40.4221,26.3,6.7,4.5,24.9793,11.4,22.4,8.2,28.7,9.1,11.1,47.1,0.0
19,06,071,1400000US06071012700,06071012700,San Bernardino,"Census Tract 127, San Bernardino County, Califor",3920,58829,0.5119,0.7151,0.9951,0.9867,0.9367,0.9089,0.7669,0.6246,0.7718,0.6706,0.9539,0.9821,0.2914,5.5325,23.2,9.0,4.3,12.2,9.2,0.0788,0.2831,0.0881,0.3056,0.2921,28670.73857432198,26814201.19057063,"POLYGON ((-117.593358 34.067718, -117.593363 34.062546, -117.581344 34.0629, -117.577995 34.061757, -117.57576 34.061501, -117.575818 34.057649, -117.575913 34.048257, -117.592694 34.048339999999996, -117.59328099999999 34.048282, -117.593273 34.044083, -117.593201 34.030505999999995, -117.585437 34.030557, -117.584558 34.030525, -117.580894 34.030156, -117.57571899999999 34.028894, -117.575165 34.023827, -117.575273 34.022644, -117.57576399999999 34.020288, -117.57580899999999 34.019096999999995, -117.56712999999999 34.018985, -117.56619599999999 34.019007, -117.558269 34.018906, -117.55834 34.023938, -117.558312 34.033451, -117.550237 34.033471999999996, -117.524313 34.033469, -117.524223 34.048109, -117.524096 34.067409999999995, -117.524027 34.07718, -117.53277 34.077211, -117.541586 34.077228, -117.54497 34.077233, -117.545083 34.067488, -117.593358 34.067718))",0.8263,0.2075,0.4881,0.6061,0.2586,0.465,0.0257,0.3043,0.1088,0.831,0.0625,0.7821,0.5665,74.7,15.7653,9.6,5.7,6.9,25.2015,0.9,11.1,8.2,27.6,5.7,5.6,1.4,0.0
