,Acres,Year built,Building sq.ft.
1389,10,1989,269689
1390,10,2017,269620
1392,10,2014,269331
1393,10,2006,269276
1394,10,2003,269248
1395,10,1995,269112
1396,10,2004,269074
1397,10,1972,269028
1398,10,1998,268986
1399,9,2008,268670
1400,9,2021,268654
1401,9,2001,268266
1402,9,2002,268238
1403,9,2005,268224
1404,9,2006,268202
1405,9,2018,268188
1406,9,1974,268076
1407,9,1997,267964
1408,9,2008,267941
1409,9,2018,267822
1410,9,2011,267785
1411,9,2017,267636
1412,9,1999,267567
1413,9,1995,267426
1414,9,1987,267325
1415,9,1989,267298
1416,9,2005,267282
1417,9,2008,267247
1418,9,1990,267192
1419,9,1984,267184
1421,9,1998,267038
1422,9,1988,267018
1423,9,1998,266937
1424,9,1957,266687
1425,9,2020,266668
1426,9,2015,266448
1427,9,2002,266439
1428,9,2004,266330
1430,9,1974,266215
1431,9,1971,266213
1432,9,1990,266038
1433,9,2016,266029
1434,9,1983,265981
1435,9,1973,265771
1436,9,2019,265766
1437,9,1985,265673
1438,9,2000,265668
1439,9,2002,265588
1440,9,1993,265448
1441,9,1988,265447
1442,9,2018,265425
1443,9,1973,265123
1444,9,1996,265022
1445,9,2014,264769
1446,9,1995,264749
1447,9,2018,264655
1448,9,1973,264606
1449,9,1985,264483
1450,9,1916,264479
1451,9,1992,264440
1452,9,2020,264414
1453,9,2022,264397
1454,9,1989,264323
1455,9,2014,264221
1456,9,1980,264152
1457,9,1977,263744
1458,9,2015,263710
1459,9,1992,263681
1460,9,1985,263619
1461,9,2014,263605
1462,9,2012,263444
1464,9,1985,263326
1465,9,1998,263321
1467,9,2007,263048
1468,9,1999,263002
1469,9,1988,262814
1470,9,1991,262599
1471,9,1977,262594
1472,9,1990,262585
1473,9,2019,262340
1474,9,1964,262264
1475,9,2001,262226
1476,9,2006,262221
1477,9,2002,262174
1478,9,1988,261987
1479,9,1969,261774
1480,9,2015,261684
1481,9,1961,261574
1483,9,2020,261450
1484,9,1980,261406
1485,9,1989,261381
1486,9,2007,261346
1487,9,1973,261243
1488,9,2002,260992
1489,9,2018,260972
1490,9,2012,260918
1491,9,1999,260627
1492,9,2010,260321
1493,9,1958,260272
1494,9,1973,260055
1495,9,1982,260009
1496,9,1986,259903
1497,9,2006,259853
1498,9,2020,259816
1499,9,2000,259582
1500,9,2018,259542
1501,9,2015,259528
1502,9,2002,259504
1503,9,2019,259358
1504,9,1954,259268
1505,9,1966,259161
1506,9,1970,258882
1507,9,2000,258816
1508,9,1967,258792
1509,9,2016,258786
1510,9,2006,258613
1511,9,1979,258596
1512,9,1987,258402
1513,9,1992,258155
1514,9,2021,258154
1515,9,1990,258106
1516,9,1984,258072
1517,9,2003,258045
1518,9,2020,257872
1519,9,1961,257848
1520,9,1991,257730
1521,9,1968,257608
1522,9,2000,257192
1523,9,1990,257188
1524,9,2018,257061
1525,9,2000,256922
1526,9,2002,256892
1527,9,1968,256733
1528,9,1988,256399
1529,9,2015,256317
1530,9,1984,256229
1531,9,1952,255981
1532,9,1982,255973
1533,9,2004,255836
1534,9,2001,255809
1535,9,1956,255777
1536,9,1997,255741
1537,9,1991,255695
1538,9,1973,255567
1539,9,1990,255461
1540,9,1947,255442
1541,9,1998,255425
1542,9,2017,255217
1543,9,1978,254941
1544,9,1994,254935
1545,9,1990,254928
1546,9,2007,254908
1547,9,1959,254869
1548,9,2004,254858
1549,9,2001,254718
1550,9,1980,254656
1551,9,2002,254635
1552,9,1977,254572
1553,9,2015,254507
1554,9,2002,254358
1555,9,1946,254342
1556,9,2000,254302
1557,9,1974,253916
1558,9,2000,253704
1559,9,2020,253217
1560,9,1978,252968
1561,9,1991,252835
1562,9,2003,252834
1563,9,2006,252650
1564,9,2007,252270
1566,9,2006,252234
1567,9,2003,252105
1568,9,1973,252054
1569,9,2003,252008
1570,9,1974,251864
1571,9,1999,251708
1572,9,2009,251585
1573,9,2021,251571
1574,9,1954,251495
1575,9,1972,251314
1576,9,1979,251215
1577,9,2007,251064
1578,9,2005,250915
1579,9,2014,250804
1580,9,2014,250341
1581,9,1950,250336
1582,9,2006,250117
1583,9,2021,250095
1584,9,2005,249986
1585,9,1988,249953
1586,9,2003,249805
1587,9,1999,249674
1588,9,2006,249596
1589,9,1911,249408
1590,9,1959,249397
1591,9,2015,249338
1592,9,2009,249134
1593,9,1980,249033
1594,9,1982,248957
1595,9,1995,248804
1596,9,1988,248796
1597,9,2016,248776
1598,9,1985,248730
1599,9,1978,248720
1600,9,1969,248591
1601,9,2017,248143
1602,9,1973,248007
1603,9,2008,247915
1604,9,1999,247908
1605,9,2021,247881
1606,9,1974,247838
1607,9,2001,247760
1608,9,1987,247676
1609,9,2020,247606
1610,9,2020,247444
1611,9,2016,247238
1612,9,1981,247019
1613,9,2000,247016
1614,9,2021,246932
1615,9,1991,246911
1616,9,1999,246518
1617,9,1999,246446
1618,9,1965,246349
1619,9,1978,246328
1620,9,1985,246215
1621,9,1973,245819
1622,9,2008,245817
1623,9,2017,245808
1624,9,1989,245697
1625,9,1980,245557
1626,9,1988,245521
1627,9,2004,245518
1628,9,2015,245489
1629,9,2020,245369
1630,9,1980,245257
1631,9,1980,245081
1632,9,1974,245021
1633,9,2003,244897
1634,9,1997,244845
1635,9,1987,244786
1636,9,1947,244746
1637,9,2021,244601
1638,9,2004,244589
1639,9,1994,244523
1640,9,2002,244083
1641,9,2007,244060
1643,9,2001,243777
1644,9,1987,243355
1645,9,2003,243124
1646,9,1990,243076
1647,9,1953,243074
1648,9,1984,243061
1649,9,2004,242991
1650,9,2021,242760
1651,9,2020,242745
1652,9,1995,242670
1653,9,1988,242541
1654,9,1986,242331
1655,9,1989,242294
1656,9,2017,242240
1657,9,2019,242080
1658,9,2017,241983
1660,9,1998,241794
1661,9,1978,241783
1662,9,1954,241659
1663,9,1987,241650
1664,9,1970,241482
1665,9,1999,241274
1666,9,1991,241270
1667,9,1990,241251
1668,9,1968,241005
1669,9,1972,240880
1670,9,2017,240768
1671,9,1973,240696
1672,9,1977,240684
1673,8,1969,240618
1674,8,2021,240405
1675,8,2004,240302
1676,8,1989,240279
1677,8,1991,240140
1678,8,1979,239963
1679,8,2021,239894
1680,8,1973,239766
1681,8,2000,239757
1682,8,1966,239724
1683,8,2000,239516
1684,8,2006,239446
1685,8,2017,239402
1686,8,2005,239389
1688,8,2018,239321
1690,8,2020,239051
1691,8,2018,238844
1692,8,1998,238782
1693,8,1999,238668
1694,8,1987,238488
1696,8,1997,238342
1697,8,2014,238296
1698,8,2020,238134
1699,8,1968,238126
1700,8,2008,237974
1701,8,2013,237847
1702,8,1969,237842
1703,8,1983,237820
1704,8,1959,237781
1705,8,2009,237666
1706,8,1984,237437
1707,8,2004,237212
1708,8,2018,237209
1709,8,1960,237129
1710,8,1990,237019
1711,8,1982,236814
1712,8,1968,236755
1713,8,1969,236503
1714,8,2008,236451
1715,8,1986,236323
1716,8,2017,236220
1717,8,2000,236170
1718,8,1998,236166
1719,8,2018,236139
1720,8,1977,236081
1721,8,2021,236050
1722,8,1979,235743
1723,8,1989,235577
1724,8,2019,235528
1725,8,2007,235488
1726,8,1987,235485
1727,8,2001,235471
1728,8,2001,235442
1729,8,2004,235158
1730,8,1986,235104
1731,8,2001,234921
1732,8,1968,234721
1733,8,1962,234513
1734,8,1971,234412
1735,8,1977,234292
1736,8,1976,233970
1737,8,1972,233880
1738,8,2017,233575
1739,8,2006,233493
1740,8,1972,233248
1742,8,1999,233037
1743,8,1988,232984
1744,8,2005,232883
1745,8,1973,232704
1746,8,2017,232676
1747,8,1986,232399
1748,8,1987,232340
1749,8,1984,232071
1750,8,1985,231879
1751,8,1973,231876
1752,8,1972,231824
1753,8,2005,231758
1754,8,1980,231705
1755,8,1959,231591
1756,8,1998,231548
1757,8,2017,231341
1758,8,1971,231288
1759,8,1965,231206
1760,8,2007,230719
1761,8,2000,230496
1762,8,2021,230380
1763,8,1980,230235
1765,8,1987,230058
1766,8,1960,229968
1767,8,1987,229910
1768,8,1996,229894
1769,8,1975,229750
1770,8,2007,229680
1771,8,2017,229608
1772,8,1984,229592
1773,8,2007,229373
1774,8,2021,229296
1775,8,2001,229156
1776,8,1990,229151
1777,8,1995,228797
1778,8,1990,228770
1780,8,2001,228618
1782,8,1985,228355
1783,8,1997,228349
1784,8,2006,228335
1785,8,2006,228325
1786,8,1987,228108
1787,8,2002,228045
1788,8,1981,228041
1789,8,1984,227754
1790,8,2000,227713
1791,8,2015,227579
1792,8,1998,227351
1793,8,1981,227296
1794,8,2014,227283
1795,8,2004,227228
1796,8,1998,226804
1797,8,1987,226780
1798,8,2001,226708
1799,8,2006,226678
1800,8,1966,226652
1802,8,2002,226256
1803,8,2017,225985
1804,8,1988,225784
1805,8,2020,225706
1806,8,1999,225693
1808,8,1979,225574
1809,8,1985,225571
1810,8,2000,225437
1811,8,2006,225162
1812,8,1972,225050
1813,8,1999,225015
1814,8,1984,224980
1815,8,1972,224797
1816,8,1989,224429
1817,8,1987,224385
1818,8,1975,224360
1819,8,1964,224261
1820,8,1999,224156
1821,8,2020,224091
1822,8,2021,223968
1823,8,2018,223885
1824,8,1991,223840
1825,8,2021,223746
1826,8,2000,223528
1827,8,2020,223315
1828,8,2009,223298
1829,8,2000,223147
1830,8,1988,223068
1831,8,1992,222766
1832,8,2001,222640
1833,8,1988,222520
1834,8,1981,222503
1835,8,2013,222428
1836,8,1990,222315
1837,8,1976,222140
1838,8,1991,222079
1839,8,2000,221787
1840,8,1997,221760
1841,8,1986,221731
1842,8,1987,221688
1843,8,2002,221551
1844,8,2000,221503
1845,8,1999,221432
1846,8,1973,221210
1847,8,2001,221166
1848,8,1984,221158
1849,8,2000,220851
1850,8,2003,220833
1851,8,1970,220830
1852,8,1965,220686
1853,8,2016,220653
1854,8,2001,220394
1855,8,1985,220369
1856,8,2002,220316
1857,8,1978,220167
1858,8,1999,220116
1859,8,1979,219844
1860,8,2000,219808
1861,8,1979,219751
1862,8,2006,219744
1863,8,1998,219599
1864,8,1988,219558
1865,8,2005,219555
1866,8,1954,219420
1867,8,1967,219224
1868,8,2004,219213
1869,8,1983,219131
1870,8,1999,219006
1871,8,2018,218897
1872,8,2006,218819
1873,8,2002,218792
1874,8,1988,218650
1875,8,1996,218425
1876,8,2000,218383
1877,8,2006,218196
1878,8,1961,218092
1879,8,1978,217973
1880,8,2002,217834
1881,8,1988,217804
1882,8,1998,217612
1883,8,1997,217605
1884,8,2005,217518
1885,8,2010,217439
1886,8,2020,217340
1887,8,1984,217222
1888,8,2001,217099
1889,8,1995,216924
1890,8,2018,216759
1891,8,2006,216733
1892,8,2001,216650
1893,8,2004,216559
1894,8,2020,216468
1895,8,1950,216277
1896,8,1979,216271
1897,8,2005,216218
1898,8,2003,216142
1899,8,1992,216052
1900,8,2019,216051
1901,8,2000,216005
1902,8,1999,215493
1903,8,1997,215291
1904,8,2015,215066
1905,8,2017,215029
1907,8,1983,214880
1908,8,1997,214774
1909,8,2014,214772
1910,8,1974,214700
1911,8,2001,214680
1912,8,1970,214579
1913,8,2001,214391
1914,8,1972,214367
1915,8,2001,214347
1916,8,1957,214316
1917,8,1999,214302
1918,8,1980,214208
1919,8,2006,214127
1920,8,1986,213671
1921,8,1987,213493
1922,8,1968,213336
1923,8,1974,213240
1924,8,1997,213160
1925,8,2001,213089
1926,8,2001,213084
1927,8,1973,213022
1928,8,1977,212917
1929,8,1994,212871
1930,8,1962,212672
1931,8,2001,212664
1932,8,1997,212624
1933,8,2010,212525
1934,8,2021,212480
1935,8,2020,212456
1936,8,1978,212443
1937,7,1988,212354
1938,7,2002,212311
1939,7,1986,212280
1940,7,2005,212146
1942,7,1980,211897
1943,7,1954,211870
1944,7,1987,211850
1945,7,1950,211779
1946,7,1986,211736
1947,7,1998,211637
1948,7,1986,211467
1949,7,1997,211347
1950,7,1978,211241
1951,7,1973,211137
1952,7,2007,210983
1953,7,2004,210978
1954,7,1975,210930
1955,7,2000,210859
1956,7,2002,210789
1957,7,2021,210586
1958,7,1974,210450
1959,7,1999,210436
1960,7,1999,210429
1961,7,2006,210277
1962,7,1996,210131
1963,7,2004,209918
1964,7,1988,209730
1965,7,2019,209658
1966,7,1973,209646
1967,7,2001,209360
1968,7,1992,209262
1969,7,1987,209188
1970,7,2016,209159
1972,7,1991,208977
1973,7,1996,208918
1974,7,2004,208900
1975,7,1978,208879
1976,7,2013,208782
1977,7,1980,208742
1978,7,2006,208714
1979,7,2019,208710
1980,7,2006,208698
1981,7,2006,208698
1982,7,1960,208628
1983,7,2006,208560
1984,7,2021,208504
1985,7,2005,208412
1986,7,2014,208349
1987,7,2006,208278
1988,7,2003,208243
1989,7,1960,208142
1990,7,2002,207912
1991,7,2001,207830
1992,7,1953,207703
1993,7,1982,207544
1994,7,1998,207532
1995,7,1998,207524
1996,7,1991,207428
1997,7,1981,207389
1998,7,2018,207377
1999,7,1986,207370
2000,7,1976,207239
2001,7,1980,207208
2002,7,1971,207201
2003,7,1974,207065
2004,7,1999,206841
2006,7,2000,206368
2007,7,1961,206290
2008,7,2006,206288
2009,7,1986,205928
2010,7,2003,205873
2011,7,2019,205793
2012,7,1955,205686
2013,7,2005,205581
2014,7,1998,205500
2016,7,1986,205316
2017,7,2016,205247
2018,7,1985,205159
2019,7,2019,205083
2020,7,2003,205050
2021,7,1992,204957
2022,7,1962,204952
2023,7,1989,204719
2024,7,1966,204685
2025,7,2019,204603
2026,7,1986,204589
2027,7,2018,204578
2028,7,1970,204407
2029,7,2004,204320
2030,7,1997,203912
2031,7,1990,203608
2032,7,2011,203560
2033,7,2006,203393
2035,7,2020,203164
2036,7,1991,203091
2037,7,2007,203064
2038,7,2008,203039
2039,7,1982,202976
2040,7,1979,202716
2041,7,2005,202714
2042,7,1967,202602
2043,7,1966,202549
2044,7,1999,202376
2045,7,1996,202361
2046,7,1963,202252
2047,7,2008,202126
2048,7,1967,202106
2049,7,1951,202039
2050,7,1969,202009
2051,7,2003,202004
2052,7,2017,201766
2053,7,1984,201766
2054,7,1990,201562
2055,7,1988,201523
2056,7,1987,201439
2057,7,1940,201347
2058,7,1978,201306
2059,7,1990,201298
2060,7,2005,201217
2061,7,1969,201066
2062,7,2015,200945
2063,7,1941,200911
2064,7,2013,200907
2065,7,2007,200711
2066,7,2007,200687
2067,7,1999,200453
2068,7,1999,200133
2069,7,2008,200066
2070,7,1990,199747
2071,7,1959,199690
2072,7,1981,199686
2073,7,1989,199579
2074,7,2003,199384
2075,7,1979,199326
2076,7,1987,199249
2078,7,1978,199042
2079,7,2001,199011
2080,7,1987,198948
2081,7,2005,198947
2082,7,1998,198900
2083,7,1980,198856
2084,7,1962,198828
2085,7,1979,198763
2086,7,1987,198762
2087,7,1980,198566
2088,7,1954,198225
2089,7,1986,198218
2090,7,2006,198124
2091,7,1988,198105
2092,7,1984,198044
2093,7,1989,197972
2094,7,2007,197852
2095,7,2016,197848
2096,7,2007,197819
2097,7,1988,197726
2099,7,1924,197630
2100,7,1990,197424
2101,7,2004,197392
2102,7,1981,197336
2103,7,1986,197329
2104,7,1990,197264
2105,7,1992,197214
2106,7,2019,197189
2107,7,1985,197104
2108,7,1991,196948
2109,7,2017,196912
2110,7,1956,196816
2111,7,1987,196815
2112,7,1969,196728
2113,7,2005,196697
2114,7,1986,196655
2115,7,2005,196541
2116,7,2001,196466
2117,7,2015,196451
2118,7,2017,196411
2119,7,1978,196205
2120,7,1951,196163
2121,7,1984,196093
2122,7,1996,195994
2123,7,1973,195937
2126,7,2019,195792
2127,7,2005,195787
2128,7,1970,195621
2129,7,1986,195583
2130,7,1990,195567
2131,7,2001,195538
2132,7,2002,195495
2133,7,1990,195404
2134,7,1974,195389
2135,7,2013,195200
2136,7,2017,195137
2137,7,1989,194769
2138,7,1998,194697
2139,7,2001,194512
2140,7,1998,194471
2141,7,2002,194222
2142,7,2000,194220
2143,7,2008,194112
2144,7,1979,193724
2145,7,1984,193703
2146,7,2008,193646
2147,7,2007,193646
2148,7,2018,193532
2149,7,1985,193437
2150,7,2018,193318
2151,7,1991,193133
2152,7,1981,192997
2153,7,2007,192974
2154,7,2003,192893
2155,7,1987,192886
2156,7,1977,192835
2158,7,1996,192632
2159,7,1979,192627
2160,7,2008,192510
2161,7,2017,192503
2162,7,1980,192410
2163,7,1990,192248
2164,7,1981,192218
2165,7,1983,192212
2166,7,2003,192019
2167,7,1971,191994
2168,7,1990,191893
2169,7,2007,191887
2170,7,1990,191824
2171,7,2001,191608
2172,7,1957,191289
2173,7,1998,191247
2174,7,1992,191222
2175,7,1965,191201
2176,7,1988,191025
2177,7,1974,190931
2178,7,1987,190811
2179,7,1987,190794
2180,7,1983,190790
2181,7,1965,190633
2182,7,2003,190627
2183,7,1987,190557
2184,7,2006,190488
2185,7,1984,190458
2186,7,1990,190453
2187,7,2000,190406
2188,7,1957,190380
2190,7,1955,190324
2191,7,2018,190286
2192,7,1986,190184
2193,7,2017,190128
2194,7,1989,190031
2195,7,1998,189795
2196,7,1986,189795
2197,7,1998,189718
2198,7,1930,189601
2199,7,2017,189591
2200,7,1978,189483
2201,7,2015,189383
2202,7,2004,189351
2203,7,1991,189306
2204,7,2014,189298
2205,7,1997,189219
2207,7,1978,189103
2208,7,2007,189028
2209,7,1991,188993
2210,7,2000,188929
2211,7,2020,188775
2212,7,1979,188772
2213,7,1984,188682
2214,7,1978,188512
2215,7,1965,188498
2216,7,1989,188401
2217,7,1946,188224
2219,7,1957,188072
2220,7,1973,188021
2221,7,2008,187952
2222,7,2002,187924
2223,7,1978,187899
2224,7,2021,187889
2225,7,2006,187849
2226,7,1986,187702
2227,7,1981,187668
2228,7,1957,187588
2229,7,1998,187478
2230,7,2008,187434
2231,7,1960,187380
2233,7,2005,187116
2234,7,2004,187106
2235,7,1973,187073
2236,7,2006,187021
2237,7,2005,186922
2238,7,1970,186772
2240,7,1974,186614
2241,7,2020,186599
2242,7,1957,186590
2243,7,1980,186466
2246,7,2016,186207
2247,7,1999,186152
2248,7,2000,186052
2249,7,2008,186008
2250,7,2006,185905
2251,7,2005,185874
2252,7,2004,185858
2253,7,2007,185792
2254,7,2019,185691
2255,7,1984,185657
2256,7,2006,185653
2257,7,2021,185614
2258,7,1988,185602
2259,7,2006,185597
2260,7,2004,185572
2261,7,1990,185510
2262,7,2005,185340
2263,7,1993,185335
2264,7,2001,185200
2265,7,2000,185047
2266,7,1972,185022
2267,7,1954,185017
2268,7,2004,184977
2269,7,1989,184931
2270,7,1980,184880
2271,7,1983,184529
2272,7,1980,184508
2273,7,1977,184394
2274,7,1971,184365
2275,7,1955,184316
2276,7,2003,184262
2277,7,1990,184241
2278,7,1979,184189
2280,7,1984,184119
2281,6,2003,183976
2282,6,2008,183937
2283,6,1990,183842
2284,6,1985,183800
2285,6,1989,183798
2286,6,1979,183787
2287,6,1971,183632
2288,6,1989,183502
2289,6,1973,183453
2290,6,2006,183279
2291,6,1986,183180
2292,6,1964,183175
2293,6,1980,183030
2294,6,1993,182968
2295,6,2017,182808
2296,6,1986,182799
2297,6,1957,182632
2298,6,1989,182431
2299,6,1989,182301
2300,6,2008,182246
2301,6,1988,182190
2302,6,1980,182182
2303,6,1987,182168
2304,6,1961,182070
2305,6,1964,182045
2306,6,1997,181896
2307,6,2000,181633
2309,6,1977,181513
2310,6,1962,181430
2311,6,2007,181402
2312,6,1999,181398
2313,6,1981,181311
2314,6,1984,180773
2315,6,2014,180509
2316,6,1979,180471
2317,6,2020,180363
2318,6,1998,180228
2319,6,2006,180226
2320,6,2007,179974
2321,6,1986,179967
2322,6,1991,179908
2323,6,2002,179822
2324,6,1986,179740
2325,6,2002,179696
2326,6,1961,179656
2327,6,2018,179422
2328,6,1987,179246
2329,6,1974,179163
2330,6,2003,179160
2331,6,1990,179126
2332,6,1990,179117
2333,6,2018,179075
2334,6,2006,179036
2335,6,1924,179032
2336,6,1988,178960
2338,6,2020,178908
2339,6,1976,178894
2340,6,2003,178851
2341,6,1935,178821
2342,6,1991,178773
2343,6,1997,178709
2344,6,2020,178665
2345,6,1960,178636
2346,6,1976,178566
2348,6,2008,178383
2349,6,2007,178326
2350,6,1978,178320
2351,6,1979,178268
2352,6,1974,178227
2353,6,2001,178169
2354,6,1980,178094
2355,6,2001,178071
2356,6,2014,177983
2357,6,1985,177861
2358,6,2007,177834
2359,6,2006,177713
2361,6,2020,177468
2362,6,2000,177452
2363,6,2019,177446
2364,6,2015,177402
2365,6,1989,177390
2366,6,1965,177196
2367,6,1942,177094
2368,6,1974,177058
2369,6,2006,176955
2370,6,2002,176951
2371,6,2001,176902
2372,6,2017,176895
2373,6,1982,176824
2374,6,1977,176685
2375,6,1985,176610
2376,6,1968,176576
2378,6,1984,176512
2379,6,1987,176337
2380,6,1971,176167
2381,6,1984,175961
2382,6,2004,175867
2383,6,1996,175762
2384,6,2001,175458
2385,6,1960,175438
2387,6,2000,175289
2388,6,1989,175254
2389,6,2003,175185
2390,6,1991,175134
2391,6,1963,175035
2392,6,1996,174980
2393,6,2004,174976
2394,6,2000,174961
2395,6,1968,174848
2396,6,1986,174804
2397,6,2002,174756
2398,6,1966,174722
2399,6,2000,174703
2400,6,2008,174583
2401,6,1984,174465
2402,6,1970,174458
2403,6,1967,174350
2404,6,1998,174306
2405,6,1985,174168
2406,6,1990,174147
2407,6,1980,174025
2408,6,2017,174021
2409,6,1963,174004
2410,6,2006,173952
2411,6,2007,173941
2412,6,2000,173939
2414,6,1998,173552
2415,6,1998,173438
2416,6,2022,173434
2417,6,1981,173189
2418,6,2002,173167
2419,6,2007,173106
2420,6,2006,173074
2421,6,2008,173030
2422,6,1982,172976
2423,6,2008,172808
2424,6,2021,172790
2425,6,2013,172780
2426,6,1953,172756
2427,6,1973,172676
2428,6,1979,172622
2429,6,1972,172560
2430,6,2002,172535
2431,6,2001,172410
2432,6,2000,172373
2433,6,2001,172362
2434,6,1990,172330
2435,6,1964,172314
2436,6,1972,172300
2437,6,1990,172266
2438,6,1980,172158
2439,6,1954,172148
2440,6,2021,172104
2441,6,1972,172085
2443,6,1986,171980
2444,6,1964,171562
2445,6,2020,171534
2446,6,1999,171419
2448,6,2017,171367
2449,6,2021,171214
2450,6,1983,171078
2451,6,1989,171071
2452,6,2005,170996
2453,6,1966,170976
2454,6,2013,170974
2455,6,2013,170972
2456,6,1999,170933
2457,6,1980,170930
2458,6,2021,170870
2459,6,2020,170846
2460,6,2003,170802
2461,6,2003,170765
2462,6,2017,170622
2463,6,2021,170543
2464,6,1966,170516
2465,6,1945,170479
2466,6,1989,170394
2468,6,2017,170310
2469,6,1987,170107
2470,6,1932,170016
2471,6,1988,169996
2472,6,2021,169920
2473,6,1978,169851
2474,6,1992,169773
2475,6,1997,169742
2476,6,1967,169721
2477,6,1981,169476
2478,6,1998,169470
2479,6,1981,169466
2480,6,1966,169251
2482,6,2009,169133
2483,6,1999,169111
2484,6,2006,169046
2485,6,1998,169006
2486,6,2007,168991
2487,6,1994,168960
2488,6,2001,168752
2489,6,1950,168676
2490,6,1999,168633
2491,6,1972,168585
2492,6,2013,168538
2493,6,1983,168486
2494,6,1985,168254
2495,6,1991,168238
2496,6,1924,168232
2497,6,2000,168188
2498,6,1995,168175
2499,6,1969,168079
2500,6,1974,168067
2501,6,1978,168061
2502,6,1973,168036
2503,6,2019,168017
2504,6,2004,167970
2505,6,2021,167934
2506,6,1953,167799
2507,6,2001,167790
2508,6,2001,167665
2509,6,2000,167562
2510,6,1990,167536
2511,6,2003,167502
2513,6,1983,167418
2514,6,1996,167403
2516,6,1948,167111
2517,6,2003,167036
2518,6,2000,167010
2519,6,1989,166995
2520,6,1968,166905
2521,6,1981,166894
2522,6,2003,166887
2523,6,1946,166817
2524,6,1979,166803
2525,6,1988,166771
2526,6,1980,166749
2527,6,1999,166706
2528,6,2001,166642
2529,6,2007,166620
2530,6,1996,166556
2531,6,1990,166526
2532,6,2007,166505
2533,6,1981,166406
2534,6,1993,166357
2536,6,1983,166311
2537,6,1984,166181
2538,6,1980,166140
2539,6,1966,166137
2540,6,1985,166076
2542,6,1989,165981
2543,6,1996,165958
2544,6,2003,165948
2545,6,1980,165815
2546,6,1989,165795
2547,6,1958,165774
2548,6,1978,165708
2549,6,2005,165531
2550,6,1989,165491
2551,6,1948,165424
2552,6,2001,165422
2553,6,1971,165399
2554,6,1984,165356
2555,6,1992,165317
2556,6,1988,165172
2557,6,2005,165133
2558,6,1979,165132
2559,6,1951,165018
2560,6,1987,164998
2561,6,2015,164986
2562,6,1956,164887
2563,6,1969,164809
2564,6,1980,164641
2565,6,2006,164533
2567,6,2001,164425
2568,6,1985,164421
2569,6,1981,164375
2570,6,1986,164337
2571,6,2005,164283
2572,6,1979,164172
2573,6,1986,164076
2574,6,2015,164059
2575,6,2019,163933
2576,6,1987,163825
2577,6,1995,163745
2578,6,1973,163677
2579,6,1998,163611
2580,6,1963,163375
2581,6,2002,163360
2582,6,1973,163350
2583,6,1999,163340
2584,6,1990,163161
2585,6,2006,163159
2586,6,2004,163128
2587,6,1983,163041
2588,6,2021,163001
2589,6,1985,162998
2590,6,2017,162937
2591,6,2006,162924
2592,6,1986,162871
2593,6,1998,162553
2594,6,2000,162509
2595,6,1999,162422
2596,6,1979,162350
2597,6,1953,162336
2598,6,1988,162163
2599,6,2016,162063
2600,6,1951,162010
2601,6,1999,161944
2602,6,2021,161941
2603,6,1978,161870
2604,6,2015,161810
2605,6,1938,161734
2606,6,1979,161592
2607,6,2004,161582
2608,6,1973,161582
2609,6,2018,161533
2610,6,1969,161471
2611,6,1950,161348
2612,6,1972,161317
2613,6,2000,161254
2614,6,1963,161109
2615,6,1990,161094
2616,6,1983,161051
2617,6,2000,160866
2618,6,2000,160862
2619,6,2002,160480
2620,6,1979,160408
2621,6,2003,160395
2622,6,1989,160107
2623,6,1987,159894
2624,6,1999,159723
2625,6,1999,159653
2626,6,1980,159645
2627,6,1999,159582
2629,6,1997,159549
2630,6,1988,159525
2631,6,1995,159440
2632,6,1960,159409
2633,6,2007,159361
2634,6,1980,159222
2636,6,1968,158895
2637,6,2000,158723
2638,6,1989,158606
2639,6,1961,158549
2641,6,1987,158359
2642,6,1979,158298
2643,6,1982,158231
2644,6,2005,158220
2645,6,1999,158203
2646,6,1966,158200
2648,6,2008,158147
2649,6,1989,158123
2650,6,1961,158049
2651,6,2014,158016
2652,6,1974,158007
2653,6,2003,157995
2654,6,1982,157879
2655,6,1982,157811
2656,6,1974,157658
2657,6,1977,157635
2658,6,1971,157580
2659,6,1995,157474
2660,6,1992,157447
2661,6,1976,157428
2662,6,1988,157414
2663,6,2021,157189
2664,6,1980,157144
2665,6,2007,157097
2666,6,1993,157024
2667,6,2002,157022
2668,6,2001,157003
2669,6,1998,156930
2670,6,1970,156923
2671,6,2015,156847
2672,6,1973,156838
2673,6,1998,156810
2674,6,2006,156807
2675,6,2005,156719
2676,6,2022,156676
2677,6,1970,156585
2678,6,1966,156580
2679,6,1972,156576
2680,6,1984,156537
2682,6,1987,156508
2683,6,1999,156433
2684,6,2015,156422
2685,6,1969,156347
2686,6,2005,156321
2687,6,2021,156309
2688,6,1971,156282
2689,6,1970,156235
2690,6,1985,156210
2691,6,1973,156207
2692,6,1987,155911
2693,6,1960,155866
2694,6,1984,155824
2695,6,1989,155813
2696,6,1986,155802
2697,6,2006,155791
2698,6,1980,155783
2699,5,1980,155708
2701,5,1997,155395
2702,5,1987,155385
2704,5,1977,155342
2705,5,1972,155165
2706,5,2002,155108
2707,5,1977,155102
2708,5,2020,155046
2709,5,1990,155025
2711,5,2019,154885
2712,5,2015,154700
2713,5,1964,154604
2714,5,1984,154512
2715,5,1987,154484
2716,5,2001,154454
2717,5,1966,154425
2718,5,2005,154411
2719,5,2004,154388
2720,5,1999,154371
