Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14006_001,SE_A17007B_001,SE_A17007B_002,SE_A17007B_003,SE_A17007B_004,SE_A17007B_005,SE_A17007B_006,SE_A17007B_007,SE_A17007B_008,SE_A17007B_009,SE_A17007B_010,SE_A17007B_011,SE_A17007B_012,SE_A17007B_013,SE_A17007B_014,SE_A17007A_001,SE_A17007A_002,SE_A17007A_003,SE_A17007A_004,SE_A17007A_005,SE_A17007A_006,SE_A17007A_007,SE_A17007A_008,SE_A17007A_009,SE_A17007A_010,SE_A17007A_011,SE_A17007A_012,SE_A17007A_013,SE_A17007A_014,SE_A00002_001,SE_A00002_002,SE_A00002_003
"060710008123","15000US060710008123","Block Group 3","Block Group 3, Census Tract 8.12, San Bernardino County, California","ca","150","00","ACSSF","0025802",,,,,"06","071",,,,"000812","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95326,349,69,76,16,13,9,0,4,60,75,0,0,27,0,224,29,51,0,0,0,0,0,63,0,0,74,0,7,1089,1899.333,0.573359027146072
"060710008131","15000US060710008131","Block Group 1","Block Group 1, Census Tract 8.13, San Bernardino County, California","ca","150","00","ACSSF","0025803",,,,,"06","071",,,,"000813","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106125,472,42,264,14,0,23,0,26,19,43,0,0,41,0,323,106,82,9,0,11,9,0,38,19,0,19,30,0,1511,4046.438,0.373414857520575
"060710008132","15000US060710008132","Block Group 2","Block Group 2, Census Tract 8.13, San Bernardino County, California","ca","150","00","ACSSF","0025804",,,,,"06","071",,,,"000813","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90357,398,111,147,28,0,0,0,11,20,72,0,0,0,9,520,183,156,0,0,23,0,0,28,21,0,91,7,11,1743,2710.971,0.642943133327259
"060710008141","15000US060710008141","Block Group 1","Block Group 1, Census Tract 8.14, San Bernardino County, California","ca","150","00","ACSSF","0025805",,,,,"06","071",,,,"000814","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122625,122,44,40,2,9,8,0,0,2,17,0,0,0,0,130,56,29,0,15,0,0,0,10,0,0,0,20,0,839,3027.673,0.277110550319152
"060710008142","15000US060710008142","Block Group 2","Block Group 2, Census Tract 8.14, San Bernardino County, California","ca","150","00","ACSSF","0025806",,,,,"06","071",,,,"000814","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127917,243,43,67,0,11,0,0,8,26,75,0,0,13,0,386,73,90,22,43,0,0,0,98,0,0,37,9,14,1330,4930.796,0.269733296061603
"060710008143","15000US060710008143","Block Group 3","Block Group 3, Census Tract 8.14, San Bernardino County, California","ca","150","00","ACSSF","0025807",,,,,"06","071",,,,"000814","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188750,229,59,105,7,0,0,0,10,11,37,0,0,0,0,243,99,10,0,9,0,0,15,20,36,0,26,0,28,993,5224.094,0.190080803463182
"060710008144","15000US060710008144","Block Group 4","Block Group 4, Census Tract 8.14, San Bernardino County, California","ca","150","00","ACSSF","0025808",,,,,"06","071",,,,"000814","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108523,164,33,55,7,0,0,10,0,15,34,0,10,0,0,185,39,26,12,14,26,0,0,13,0,0,18,9,28,778,2332.029,0.333615059220352
"060710008151","15000US060710008151","Block Group 1","Block Group 1, Census Tract 8.15, San Bernardino County, California","ca","150","00","ACSSF","0025809",,,,,"06","071",,,,"000815","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157212,558,172,224,18,10,10,0,0,50,43,0,0,31,0,518,144,97,0,29,11,6,0,100,25,0,21,76,9,1836,2843.397,0.645706466593668
"060710008152","15000US060710008152","Block Group 2","Block Group 2, Census Tract 8.15, San Bernardino County, California","ca","150","00","ACSSF","0025810",,,,,"06","071",,,,"000815","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126213,451,98,238,0,0,0,7,5,28,53,0,0,8,14,384,148,99,0,29,21,10,0,16,8,0,48,5,0,1655,5242.679,0.31567829657898
"060710008161","15000US060710008161","Block Group 1","Block Group 1, Census Tract 8.16, San Bernardino County, California","ca","150","00","ACSSF","0025811",,,,,"06","071",,,,"000816","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114205,173,55,52,8,0,0,0,0,30,28,0,0,0,0,229,71,33,1,0,37,0,0,15,21,0,21,13,17,942,3406.123,0.276560740821965
"060710008162","15000US060710008162","Block Group 2","Block Group 2, Census Tract 8.16, San Bernardino County, California","ca","150","00","ACSSF","0025812",,,,,"06","071",,,,"000816","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141776,555,51,153,0,0,14,45,43,101,121,0,0,10,17,438,115,110,14,45,0,8,0,41,7,0,11,0,87,1736,3983.16,0.435834837844809
"060710008163","15000US060710008163","Block Group 3","Block Group 3, Census Tract 8.16, San Bernardino County, California","ca","150","00","ACSSF","0025813",,,,,"06","071",,,,"000816","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87333,358,67,80,0,0,11,0,23,50,127,0,0,0,0,506,99,89,0,29,22,29,0,104,52,0,55,0,27,1527,5670.571,0.269285031436439
"060710008171","15000US060710008171","Block Group 1","Block Group 1, Census Tract 8.17, San Bernardino County, California","ca","150","00","ACSSF","0025814",,,,,"06","071",,,,"000817","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100048,369,64,67,9,0,42,0,0,74,94,0,0,9,10,164,29,21,15,10,9,0,8,0,33,0,18,21,0,1041,6668.854,0.156098792735719
"060710008172","15000US060710008172","Block Group 2","Block Group 2, Census Tract 8.17, San Bernardino County, California","ca","150","00","ACSSF","0025815",,,,,"06","071",,,,"000817","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117375,306,101,128,0,0,0,0,0,10,52,1,0,14,0,333,49,62,0,52,25,19,0,33,23,0,54,0,16,1584,5159.734,0.306992542050388
"060710008173","15000US060710008173","Block Group 3","Block Group 3, Census Tract 8.17, San Bernardino County, California","ca","150","00","ACSSF","0025816",,,,,"06","071",,,,"000817","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36964,204,29,77,0,0,0,0,0,22,58,0,0,0,18,232,44,64,0,0,14,13,0,9,0,0,26,0,62,1272,1197.151,1.06252306960496
"060710008181","15000US060710008181","Block Group 1","Block Group 1, Census Tract 8.18, San Bernardino County, California","ca","150","00","ACSSF","0025817",,,,,"06","071",,,,"000818","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121875,319,105,66,0,0,8,0,0,12,118,0,0,10,0,301,92,36,0,23,34,0,17,48,34,0,0,0,17,1337,4932.875,0.271038707515247
"060710008182","15000US060710008182","Block Group 2","Block Group 2, Census Tract 8.18, San Bernardino County, California","ca","150","00","ACSSF","0025818",,,,,"06","071",,,,"000818","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88250,266,90,65,0,0,12,0,0,42,57,0,0,0,0,295,55,33,0,17,0,0,11,88,26,0,20,21,24,1115,4018.072,0.277496266391968
"060710008183","15000US060710008183","Block Group 3","Block Group 3, Census Tract 8.18, San Bernardino County, California","ca","150","00","ACSSF","0025819",,,,,"06","071",,,,"000818","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64583,614,103,152,98,10,58,12,12,56,113,0,0,0,0,374,78,67,0,19,38,0,0,35,59,0,0,66,12,1928,7174.255,0.268738696858827
"060710008184","15000US060710008184","Block Group 4","Block Group 4, Census Tract 8.18, San Bernardino County, California","ca","150","00","ACSSF","0025820",,,,,"06","071",,,,"000818","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96719,208,44,67,5,0,11,14,35,0,32,0,0,0,0,184,72,11,0,0,0,0,18,20,0,0,42,8,13,848,3069.903,0.276230237360173
"060710008191","15000US060710008191","Block Group 1","Block Group 1, Census Tract 8.19, San Bernardino County, California","ca","150","00","ACSSF","0025821",,,,,"06","071",,,,"000819","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69205,131,35,29,0,0,13,0,0,35,8,0,0,0,11,71,39,16,0,0,1,0,0,9,0,0,6,0,0,605,1759.349,0.343877268929431
"060710008192","15000US060710008192","Block Group 2","Block Group 2, Census Tract 8.19, San Bernardino County, California","ca","150","00","ACSSF","0025822",,,,,"06","071",,,,"000819","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135833,594,108,265,25,16,33,0,22,29,41,0,7,0,48,680,142,60,0,36,0,0,10,191,57,15,0,0,169,2326,3757.448,0.61903723106053
"060710008193","15000US060710008193","Block Group 3","Block Group 3, Census Tract 8.19, San Bernardino County, California","ca","150","00","ACSSF","0025823",,,,,"06","071",,,,"000819","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143836,559,124,202,45,25,10,0,17,52,72,0,0,0,12,580,145,197,0,11,3,0,0,89,49,0,67,0,19,2082,6658.527,0.312681757598877
"060710008201","15000US060710008201","Block Group 1","Block Group 1, Census Tract 8.20, San Bernardino County, California","ca","150","00","ACSSF","0025824",,,,,"06","071",,,,"000820","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144508,440,62,171,14,0,8,22,0,87,63,0,0,13,0,577,173,77,0,15,17,0,16,43,40,0,143,18,35,1823,1517.952,1.20096039055007
"060710008202","15000US060710008202","Block Group 2","Block Group 2, Census Tract 8.20, San Bernardino County, California","ca","150","00","ACSSF","0025825",,,,,"06","071",,,,"000820","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159453,228,32,80,0,0,0,0,37,0,41,1,0,0,37,248,63,45,0,0,19,0,0,22,10,0,32,15,42,995,3778.244,0.263349868802481
"060710008203","15000US060710008203","Block Group 3","Block Group 3, Census Tract 8.20, San Bernardino County, California","ca","150","00","ACSSF","0025826",,,,,"06","071",,,,"000820","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000,169,45,77,9,14,8,0,0,0,16,0,0,0,0,273,91,40,5,17,0,0,1,33,0,0,53,19,14,1056,3814.761,0.276819429279209
"060710008211","15000US060710008211","Block Group 1","Block Group 1, Census Tract 8.21, San Bernardino County, California","ca","150","00","ACSSF","0025827",,,,,"06","071",,,,"000821","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67301,983,251,260,47,10,49,0,46,44,134,0,0,98,44,1286,110,373,15,12,185,62,32,197,58,0,36,47,159,4017,4154.704,0.966855830992267
"060710008231","15000US060710008231","Block Group 1","Block Group 1, Census Tract 8.23, San Bernardino County, California","ca","150","00","ACSSF","0025828",,,,,"06","071",,,,"000823","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65746,279,28,99,0,0,0,0,38,47,0,0,0,0,67,485,0,90,0,53,0,83,6,67,57,0,85,0,44,1589,5883.256,0.270088510062595
"060710008232","15000US060710008232","Block Group 2","Block Group 2, Census Tract 8.23, San Bernardino County, California","ca","150","00","ACSSF","0025829",,,,,"06","071",,,,"000823","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59563,713,21,112,126,27,75,24,61,77,168,0,0,0,22,645,199,67,19,48,16,0,0,77,16,0,24,87,92,2259,14712.1,0.153547043461205
"060710008233","15000US060710008233","Block Group 3","Block Group 3, Census Tract 8.23, San Bernardino County, California","ca","150","00","ACSSF","0025830",,,,,"06","071",,,,"000823","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49731,861,124,25,80,19,94,60,51,194,64,0,0,74,76,591,30,159,0,13,0,0,66,48,74,0,20,69,112,2756,8907.633,0.309397572498405
"060710008241","15000US060710008241","Block Group 1","Block Group 1, Census Tract 8.24, San Bernardino County, California","ca","150","00","ACSSF","0025831",,,,,"06","071",,,,"000824","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48640,291,8,108,29,0,11,10,43,62,20,0,0,0,0,261,38,24,0,0,28,29,0,9,51,0,33,23,26,1421,18958.49,0.0749532430266086
"060710008242","15000US060710008242","Block Group 2","Block Group 2, Census Tract 8.24, San Bernardino County, California","ca","150","00","ACSSF","0025832",,,,,"06","071",,,,"000824","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45438,284,76,38,8,42,0,0,16,28,46,0,0,0,30,545,86,48,16,55,30,81,0,28,0,0,36,63,102,2189,8009.601,0.273297019136768
"060710008243","15000US060710008243","Block Group 3","Block Group 3, Census Tract 8.24, San Bernardino County, California","ca","150","00","ACSSF","0025833",,,,,"06","071",,,,"000824","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96250,428,39,109,79,0,36,36,0,19,110,0,0,0,0,187,41,35,0,0,0,0,0,22,0,0,37,41,11,1175,8478.775,0.138581337056388
"060710008244","15000US060710008244","Block Group 4","Block Group 4, Census Tract 8.24, San Bernardino County, California","ca","150","00","ACSSF","0025834",,,,,"06","071",,,,"000824","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37788,283,10,35,0,0,16,0,38,69,87,0,0,0,28,262,20,6,0,0,0,34,0,83,11,0,6,55,47,860,13518.67,0.0636157387601796
"060710008251","15000US060710008251","Block Group 1","Block Group 1, Census Tract 8.25, San Bernardino County, California","ca","150","00","ACSSF","0025835",,,,,"06","071",,,,"000825","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58382,225,25,10,43,0,18,0,0,38,68,0,0,23,0,268,27,64,9,0,0,29,0,63,0,0,0,33,43,961,6233.136,0.154176003904265
