Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017
"06059062652","Census Tract 626.52, Orange County, California","ACSSF","ca","140","00","0007331",,,,,"06","059",,,"062652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059062652","Census Tract 626.52",,,,5107,5107,3619,21,35,910,0,131,391,5107,4097,2982,21,0,910,0,0,184,1010,637,0,35,0,0,131,207
"06059062653","Census Tract 626.53, Orange County, California","ACSSF","ca","140","00","0007332",,,,,"06","059",,,"062653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059062653","Census Tract 626.53",,,,6538,6538,2847,193,0,2852,0,90,556,6538,5915,2575,193,0,2767,0,24,356,623,272,0,0,85,0,66,200
"06059062654","Census Tract 626.54, Orange County, California","ACSSF","ca","140","00","0007333",,,,,"06","059",,,"062654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059062654","Census Tract 626.54",,,,6971,6971,3547,0,0,2979,0,0,445,6971,6135,2969,0,0,2947,0,0,219,836,578,0,0,32,0,0,226
"06059062655","Census Tract 626.55, Orange County, California","ACSSF","ca","140","00","0007334",,,,,"06","059",,,"062655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059062655","Census Tract 626.55",,,,4329,4329,2042,43,0,1969,0,0,275,4329,3536,1353,43,0,1905,0,0,235,793,689,0,0,64,0,0,40
"06059062656","Census Tract 626.56, Orange County, California","ACSSF","ca","140","00","0007335",,,,,"06","059",,,"062656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059062656","Census Tract 626.56",,,,3245,3245,3109,0,53,30,0,53,0,3245,3192,3109,0,53,30,0,0,0,53,0,0,0,0,0,53,0
"06059062657","Census Tract 626.57, Orange County, California","ACSSF","ca","140","00","0007336",,,,,"06","059",,,"062657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059062657","Census Tract 626.57",,,,3556,3556,2898,0,82,534,0,0,42,3556,3336,2802,0,0,534,0,0,0,220,96,0,82,0,0,0,42
"06059062658","Census Tract 626.58, Orange County, California","ACSSF","ca","140","00","0007337",,,,,"06","059",,,"062658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059062658","Census Tract 626.58",,,,5022,5022,4407,0,0,280,0,52,283,5022,4556,4101,0,0,280,0,0,175,466,306,0,0,0,0,52,108
"06059062701","Census Tract 627.01, Orange County, California","ACSSF","ca","140","00","0007338",,,,,"06","059",,,"062701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059062701","Census Tract 627.01",,,,2817,2817,2676,0,0,10,0,10,121,2817,2693,2569,0,0,10,0,4,110,124,107,0,0,0,0,6,11
"06059062702","Census Tract 627.02, Orange County, California","ACSSF","ca","140","00","0007339",,,,,"06","059",,,"062702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059062702","Census Tract 627.02",,,,4702,4702,3820,0,28,315,0,100,439,4702,4363,3772,0,9,311,0,0,271,339,48,0,19,4,0,100,168
"06059062800","Census Tract 628, Orange County, California","ACSSF","ca","140","00","0007340",,,,,"06","059",,,"062800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059062800","Census Tract 628",,,,3516,3516,2486,64,0,154,29,52,731,3516,3115,2319,64,0,142,29,0,561,401,167,0,0,12,0,52,170
