,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
4715,06,071,001903,1400000US06071001903,06071001903,19.03,CT,40433392,249662,"POLYGON ((-117.662853 33.9975, -117.662965 33.993852, -117.658477 33.993832999999995, -117.658441 33.990259, -117.650662 33.990299, -117.650627 33.983058, -117.650532 33.968551999999995, -117.650504 33.9561, -117.65029799999999 33.953359, -117.650331 33.951336999999995, -117.651482 33.947235, -117.657332 33.932443, -117.659515 33.93069, -117.658314 33.929119, -117.65537499999999 33.924343, -117.655386 33.925114, -117.610947 33.925114, -117.610925 33.945999, -117.610913 33.960084, -117.610485 33.964413, -117.610386 33.971613999999995, -117.60687300000001 33.972778999999996, -117.600906 33.974843, -117.600066 33.975316, -117.59394 33.97727, -117.593232 33.977596, -117.55837700000001 33.98842, -117.558429 33.997112, -117.593175 33.997254999999996, -117.60570200000001 33.997458, -117.606756 33.997834, -117.628035 33.997692, -117.65068600000001 33.997583999999996, -117.658506 33.997532, -117.662853 33.9975))"
4716,06,071,001905,1400000US06071001905,06071001905,19.05,CT,14639342,0,"POLYGON ((-117.658833 34.019287, -117.658745 34.011976, -117.658658 34.004766, -117.658506 33.997532, -117.65068600000001 33.997583999999996, -117.628035 33.997692, -117.606756 33.997834, -117.60570200000001 33.997458, -117.593175 33.997254999999996, -117.59315 34.011841, -117.593164 34.019145, -117.599948 34.019225, -117.604626 34.019296, -117.60666499999999 34.019511, -117.607634 34.019639, -117.610902 34.019603, -117.615272 34.019566999999995, -117.619595 34.019563, -117.623969 34.019501999999996, -117.628333 34.019484999999996, -117.63704899999999 34.019433, -117.650628 34.019331, -117.654483 34.019313, -117.658833 34.019287))"
4862,06,071,001809,1400000US06071001809,06071001809,18.09,CT,2351671,0,"POLYGON ((-117.611001 34.030457999999996, -117.610965 34.026844, -117.615336 34.026809, -117.615272 34.019566999999995, -117.610902 34.019603, -117.607634 34.019639, -117.60666499999999 34.019511, -117.604626 34.019296, -117.599948 34.019225, -117.593164 34.019145, -117.593201 34.030505999999995, -117.59932599999999 34.030476, -117.606595 34.030485999999996, -117.611001 34.030457999999996))"
4898,06,071,012700,1400000US06071012700,06071012700,127,CT,26807887,0,"POLYGON ((-117.593358 34.067718, -117.593363 34.062546, -117.581344 34.0629, -117.577995 34.061757, -117.57576 34.061501, -117.575818 34.057649, -117.575913 34.048257, -117.592694 34.048339999999996, -117.59328099999999 34.048282, -117.593273 34.044083, -117.593201 34.030505999999995, -117.585437 34.030557, -117.584558 34.030525, -117.580894 34.030156, -117.57571899999999 34.028894, -117.575165 34.023827, -117.575273 34.022644, -117.57576399999999 34.020288, -117.57580899999999 34.019096999999995, -117.56712999999999 34.018985, -117.56619599999999 34.019007, -117.558269 34.018906, -117.55834 34.023938, -117.558312 34.033451, -117.550237 34.033471999999996, -117.524313 34.033469, -117.524223 34.048109, -117.524096 34.067409999999995, -117.524027 34.07718, -117.53277 34.077211, -117.541586 34.077228, -117.54497 34.077233, -117.545083 34.067488, -117.593358 34.067718))"
5064,06,071,001103,1400000US06071001103,06071001103,11.03,CT,1672684,0,"POLYGON ((-117.660736 34.087434, -117.660712 34.081533, -117.660703 34.077906, -117.66068 34.074264, -117.660645 34.068808, -117.655963 34.068833, -117.65597 34.072452999999996, -117.650888 34.072472, -117.650913 34.074298, -117.650944 34.081565999999995, -117.65095 34.087429, -117.660736 34.087434))"
5065,06,071,001200,1400000US06071001200,06071001200,12,CT,1540373,0,"POLYGON ((-117.65095 34.087429, -117.650944 34.081565999999995, -117.650913 34.074298, -117.650888 34.072472, -117.646107 34.072491, -117.646098 34.070679, -117.643766 34.070685, -117.641393 34.070699, -117.6414 34.074328, -117.641403 34.077948, -117.641437 34.0816, -117.64145500000001 34.087081999999995, -117.643636 34.087438, -117.646165 34.087482, -117.65095 34.087429))"
5066,06,071,001305,1400000US06071001305,06071001305,13.05,CT,1178835,0,"POLYGON ((-117.64145500000001 34.087081999999995, -117.639329 34.086543, -117.636269 34.085235, -117.630018 34.081604999999996, -117.628589 34.080805999999995, -117.623107 34.077647999999996, -117.619797 34.077627, -117.619856 34.084899, -117.62792400000001 34.084916, -117.628563 34.085074, -117.628575 34.09215, -117.62857199999999 34.092558, -117.630511 34.092708, -117.63311 34.093174999999995, -117.633045 34.09249, -117.632997 34.08695, -117.64145500000001 34.087081999999995))"
5068,06,071,001400,1400000US06071001400,06071001400,14,CT,1145113,0,"POLYGON ((-117.650888 34.072472, -117.65597 34.072452999999996, -117.655963 34.068833, -117.655958 34.068222999999996, -117.655958 34.067004, -117.65591599999999 34.063356999999996, -117.655919 34.061105, -117.654664 34.061112, -117.648456 34.061135, -117.646056 34.061138, -117.646055 34.063376, -117.64608799999999 34.068258, -117.646098 34.070679, -117.646107 34.072491, -117.650888 34.072472))"
5070,06,071,001504,1400000US06071001504,06071001504,15.04,CT,1283697,0,"POLYGON ((-117.629239 34.070704, -117.628545 34.068621, -117.628524 34.067074, -117.6285 34.063415, -117.610976 34.063514, -117.61099 34.067126, -117.611013 34.068816, -117.61192199999999 34.069091, -117.613353 34.070693999999996, -117.620761 34.070717, -117.629239 34.070704))"
5071,06,071,001704,1400000US06071001704,06071001704,17.04,CT,2041777,0,"POLYGON ((-117.669916 34.040985, -117.66982 34.035129, -117.669045 34.033711, -117.667904 34.032178, -117.667783 34.031921, -117.667639 34.03029, -117.662808 34.030302999999996, -117.658925 34.030325999999995, -117.65701899999999 34.030299, -117.654569 34.030100000000004, -117.654467 34.030314, -117.650716 34.030338, -117.650687 34.033844, -117.650705 34.03745, -117.650739 34.041056999999995, -117.659014 34.041044, -117.663375 34.041038, -117.669916 34.040985))"
