"Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"263320013","ct-warehouse/dry storage","1994","36","1016849"
"016314118","light industrial","2022","36","1016562"
"026604180","distribution warehouse","2007","36","1014979"
"023811147","flex","2000","36","1014095"
"302070020","warehouse/dry storage","2012","36","1012794"
"294100045","warehouse/mega","2021","36","1012628"
"257040024","warehouse/dry storage","2020","36","1009275"
"011343109","flex","2002","36","1008933"
"029205316","distribution warehouse","2015","36","1007448"
"028143102","distribution warehouse","2015","35","1003270"
"026204239","distribution warehouse","2014","35","996991"
"316180013","light industrial","2012","35","990152"
"023205143","distribution warehouse","2016","35","988080"
"295310069","warehouse/dry storage","2019","35","985536"
"023816179","flex","1995","35","983522"
"160040033","light industrial","2005","35","983509"
"026002115","distribution warehouse","2014","35","980215"
"102040023","light industrial","1971","35","980149"
"029204210","distribution warehouse","2006","35","980090"
"025709136","distribution warehouse","2019","35","977564"
"2629-001-010","Warehousing, Distribution, Storage","2012","34","963666"
"156040066","warehouse/dry storage","2001","34","962984"
"023805244","distribution warehouse","2001","34","962908"
"023816148","flex","2014","34","958802"
"160510006","warehouse/dry storage","2018","34","957987"
"7412-026-016","Warehousing, Distribution, Storage","2001","34","954784"
"016754109","distribution warehouse","2012","34","949383"
"488350060","warehouse/mega","2021","33","947540"
"026013134","distribution warehouse","2007","33","941482"
"8218-007-015","Warehousing, Distribution, Storage","1971","33","938951"
"107313103","distribution warehouse","2020","33","938712"
"297100095","warehouse/mega","2020","33","937035"
"8059-005-046","Warehousing, Distribution, Storage","2005","33","935912"
"023814414","distribution warehouse","1998","33","935117"
